楼层(BldgLevel),构件类型(Category),构件ID(ObjectId),族(Family)
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
0,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
1,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
2,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
3,wallstandardcase,,
4,wallstandardcase,,
4,wallstandardcase,,
4,wallstandardcase,,
4,wallstandardcase,,
4,wallstandardcase,,
4,wallstandardcase,,
4,wallstandardcase,,
4,wallstandardcase,,
4,wallstandardcase,,
4,wallstandardcase,,
0,slab,,
1,slab,,
2,slab,,
3,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
4,slab,,
1,column,Stahlbeton 2747937872 D200,
1,column,Stahlbeton 2747937872 D200,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
0,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
1,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
2,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
3,furnishingelement,,
1,railing,,
1,railing,,
1,railing,,
2,railing,,
2,railing,,
2,railing,,
3,railing,,
3,railing,,
3,railing,,
4,railing,,
4,railing,,
4,railing,,
,openingelement,,
,openingelement,,
,openingelement,,
,openingelement,,
合计: 418个构件,,,
